ML Method,Encoding Method,Metric,Value
LogisticRegression,label,Average Accuracy,0.51
MLP,label,Average Accuracy,0.51
NeuralNetwork,label,Average Accuracy,0.54
RandomForest,label,Average Accuracy,0.57
SVM,label,Average Accuracy,0.54
AdaBoost_SAMME,label,Average Precision,0.52
DecisionTree,label,Average Precision,0.5
GaussianNB,label,Average Precision,0.53
KNN,label,Average Precision,0.56
LogisticRegression,label,Average Precision,0.37
MLP,label,Average Precision,0.36
NeuralNetwork,label,Average Precision,0.4
RandomForest,label,Average Precision,0.53
SVM,label,Average Precision,0.45
AdaBoost_SAMME,label,Average Recall,0.54
DecisionTree,label,Average Recall,0.56
GaussianNB,label,Average Recall,0.37
KNN,label,Average Recall,0.58
LogisticRegression,label,Average Recall,0.51
MLP,label,Average Recall,0.51
NeuralNetwork,label,Average Recall,0.54
RandomForest,label,Average Recall,0.57
SVM,label,Average Recall,0.54
AdaBoost_SAMME,label,Average MCC,0.24
DecisionTree,label,Average MCC,0.25
GaussianNB,label,Average MCC,0.21
KNN,label,Average MCC,0.33
LogisticRegression,label,Average MCC,0.12
MLP,label,Average MCC,0.11
NeuralNetwork,label,Average MCC,0.15
RandomForest,label,Average MCC,0.28
SVM,label,Average MCC,0.2
AdaBoost_SAMME,leaveoneout,Average F1 score,0.95
DecisionTree,leaveoneout,Average F1 score,0.97
GaussianNB,leaveoneout,Average F1 score,0.56
KNN,leaveoneout,Average F1 score,0.73
LogisticRegression,leaveoneout,Average F1 score,0.45
MLP,leaveoneout,Average F1 score,0.43
NeuralNetwork,leaveoneout,Average F1 score,0.44
RandomForest,leaveoneout,Average F1 score,0.97
SVM,leaveoneout,Average F1 score,0.5
AdaBoost_SAMME,leaveoneout,Average Accuracy,0.95
DecisionTree,leaveoneout,Average Accuracy,0.97
GaussianNB,leaveoneout,Average Accuracy,0.6
KNN,leaveoneout,Average Accuracy,0.74
LogisticRegression,leaveoneout,Average Accuracy,0.53
MLP,leaveoneout,Average Accuracy,0.54
NeuralNetwork,leaveoneout,Average Accuracy,0.55
RandomForest,leaveoneout,Average Accuracy,0.98
SVM,leaveoneout,Average Accuracy,0.56
AdaBoost_SAMME,leaveoneout,Average Precision,0.96
DecisionTree,leaveoneout,Average Precision,0.97
GaussianNB,leaveoneout,Average Precision,0.59
KNN,leaveoneout,Average Precision,0.73
LogisticRegression,leaveoneout,Average Precision,0.45
MLP,leaveoneout,Average Precision,0.43
NeuralNetwork,leaveoneout,Average Precision,0.4
RandomForest,leaveoneout,Average Precision,0.98
SVM,leaveoneout,Average Precision,0.52
AdaBoost_SAMME,leaveoneout,Average Recall,0.95
